Number,First Line,Category,Tune Name,Meter
1,The Advent of Our King,Advent,ST. THOMAS,SM
2,"Savior of the Nations, Come",Advent,"NUN KOMM, DER HEIDEN HEILAND",77 77
3,"Lift Up Your Heads, You Mighty Gates",Advent,MACHT HOCH DIE TÜR,88 88 88 66
4,"Lift Up Your Heads, You Mighty Gates",Advent,MILWAUKEE,88 88 88 66
5,As Angels Joyed with One Accord,Advent,PUER NOBIS NASCITUR,LM
6,"Come, O Long-Expected Jesus",Advent,ST. HILARY,87 87 D
7,"Rejoice, Rejoice, Believers",Advent,HAF TRONES LAMPA FÄRDIG,76 76 D
8,"Come, O Precious Ransom, Come",Advent,MEINEN JESUM LASS ICH NICHT,78 78 77
9,"Jesus, Your Church with Longing Eyes",Advent,"O JESU CHRISTE, WAHRES LICHT",LM
10,The Bridegroom Soon Will Call Us,Advent,ACH GOTT VOM HIMMELREICHE,76 76 D
11,"Comfort, Comfort All My People",Advent,FREU DICH SEHR,87 87 77 88
12,Hark the Glad Sound! The Savior Comes,Advent,CHESTERFIELD,CM
13,There's a Voice in the Wilderness Crying,Advent,ASCENSION,Irregular
14,"Arise, O Christian People",Advent,AUS MINES HERZENS GRUNDE,76 76 67 76
15,Hark! A Thrilling Voice Is Sounding,Advent,MERTON,87 87
16,On Jordan's Bank the Baptist's Cry,Advent,PUER NOBIS NASCITUR,LM
17,God's Own Son Most Holy,Advent,GOTTES SOHN IST KOMMEN,66 66 66
18,"O Lord, How Shall I Meet You",Advent,WIE SOLL ICH DICH EMPFANGEN,76 76 D
19,"O Lord, How Shall I Meet You",Advent,VALET WILL ICH DIR GEBEN,76 76 D
20,When All the World Was Cursed,Advent,WAS FRAG ICH NACH DER WELT,67 67 66 66
21,Hosanna to the Coming Lord,Advent,VOM HIMMEL HOCH,LM
22,"O Savior, Rend the Heavens Wide",Advent,"O HEILAND, REISS DIE HIMMEL AUF ",LM
23,"Oh, Come, Oh, Come, Emmanuel",Advent,"VENI, EMMANUEL",LM with Refrain
24,The Angel Gabriel from Heaven Came,Advent,GABRIEL’S MESSAGE,10 10 12 10
25,The King Shall Come,Advent,CONSOLATION,CM
26,"Jesus Came, the Heavens Adoring",Advent,"SIEH, HIER BIN ICH, EHRENKÖNIG",87 87 87
27,"O Jesus, Lamb of God, You Are",Advent,WEIMAR,LM
28,Let the Earth Now Praise the Lord,Advent,"NUN KOMM, DER HEIDEN HEILAND",77 77
29,"Lo, He Comes with Clouds Descending",Advent,PICARDY,87 87 87
30,"Rise, Arise",Advent,FAHRE FORT,67 87 89 6
31,"O Lord of Light, Who Made the Stars",Advent,CONDITOR ALME SIDERUM,LM
32,When Sinners See Their Lost Condition,Advent,"WER WEISS, WIE NAHE",98 98 88
33,"All Praise to You, Eternal God",Christmas,"GELOBET SEIST DU, JESU CHRIST",LM with Alleluia
34,"Now Sing We, Now Rejoice",Christmas,IN DULCI JUBILO,66 66 66 55
35,Of the Father’s Love Begotten,Christmas,DIVINUM MYSTERIUM,87 87 877
36,A Great and Mighty Wonder,Christmas,ES IST EIN ROS,76 76 676
37,Once Again My Heart Rejoices,Christmas,FRÖHLICH SOLL MEIN HERZE SPRINGEN,8 33 6 D
38,From Heaven Above to Earth I Come,Christmas,VOM HIMMEL HOCH,LM
39,"Now Praise We Christ, the Holy One",Christmas,CHRISTUM WIR SOLLEN LOBEN SCHON,LM
40,"O Jesus Christ, Your Manger Is",Christmas,"O JESU CHRIST, DEIN KRIPPLEIN IST",44 11 D
41,Let All Together Praise Our God,Christmas,"LOBT GOTT, IHR CHRISTEN",86 866
42,"Come, Your Hearts and Voices Raising",Christmas,QUEM PASTORES,88 87
43,To Thee My Heart I Offer,Christmas,CORDIS DONUM,76 76 88 86
44,"Break Forth, O Beauteous Heavenly Light",Christmas,ERMUNTRE DICH,87 87 88 77
45,"Oh, Rejoice, All Christians, Loudly",Christmas,"FREUET EUCH, IHR CHRISTEN ALLE",877 877 with Refrain
46,"Your Little Ones, Dear Lord, Are We",Christmas,HER KOMMER DINE ARME SMAA,LM
47,"Behold, a Branch Is Growing",Christmas,ES IST EIN ROS,76 76 676
48,When Christmas Morn Is Dawning,Christmas,WIR HATTEN GEBAUET,76 76 76
49,"Rejoice, Rejoice This Happy Morn",Christmas,WIE SCHÖN LEUCHTET,887 887 22 44 48
50,Once in Royal David’s City,Christmas,IRBY,87 87 77
51,I Am So Glad When Christmas Comes,Christmas,JEG ER SAA GLAD,CM
52,On Christmas Night All Christians Sing,Christmas,SUSSEX CAROL,88 88 88
53,To Shepherds as They Watched by Night,Christmas,PUER NOBIS NASCITUR,LM
54,Where Shepherds Lately Knelt,Christmas,MANGER SONG,12 12 10 10
55,"Oh, Come, All Ye Faithful",Christmas,ADESTE FIDELES,Irregular
56,Gentle Mary Laid Her Child,Christmas,TEMPUS ADEST FLORIDUM,76 76 D
57,"Go, Tell It on the Mountain",Christmas,"GO, TELL IT",78 76 76 76
58,See in Yonder Manger Low,Christmas,HUMILITY,77 77 with Refrain
59,Christ the Lord to Us Is Born,Christmas,NARODIL SE KRISTUS PAN,74 74 with Refrain
60,Silent Night! Holy Night,Christmas,STILLE NACHT,Irregular
61,Hark! The Herald Angels Sing,Christmas,MENDELSSOHN,77 77 D with Refrain
62,Joy to the World,Christmas,ANTIOCH,CM with Repeat
63,Angels We Have Heard on High,Christmas,GLORIA,77 77 with Refrain
64,Let Us All with Gladsome Voice,Christmas,LASST UNS ALLE,76 76 Trochaic
65,O Little Town of Bethlehem,Christmas,ST. LOUIS,86 446 76 446
66,O Little Town of Bethlehem,Christmas,FOREST GREEN,86 446 76 446
67,What Child Is This,Christmas,GREENSLEEVES,87 87 68 67
68,Away in a Manger,Christmas,CRADLE SONG,11 11 11 11
69,Across the Sky the Shades of Night,New Year,ALLEIN GOTT IN DER HÖH SEI EHR,87 87 887
70,"Help Us, O Lord, for Now We Enter",New Year,ICH STERBE TÄGLICH,98 98 88
71,The Old Year Now Has Passed Away,New Year,"HERR JESU CHRIST, DICH ZU UNS WEND",LM
72,"O Lord, Our Father, Thanks and Praise",New Year,"NUN FREUT EUCH, LIEBEN CHRISTEN",
73,To God the Anthem Raising,New Year,HELFT MIR GOTTS GÜTE PREISEN,76 76 67 76
74,Now Let Us Come before Him,New Year,NEW YEAR,77 77 Iambic
75,"Father, Let Me Dedicate",New Year,GLORIFICATION,75 75 D
76,Jesus! Name of Wondrous Love,Name of Jesus,GOTT SEI DANK DURCH ALLE WELT,77 77
77,In His Temple Now Behold Him,Presentation,WESTMINSTER ABBEY ,87 87 87
78,O Light of Gentile Nations,Presentation,MUNICH,76 76 D
79,How Lovely Shines the Morning Star,Epiphany,WIE SCHÖN LEUCHTET,887 887 22 44 48
80,Angels from the Realms of Glory,Epiphany,REGENT SQUARE,87 87 87
81,Arise and Shine in Splendor,Epiphany,EPIPHANY,776 778
82,Songs of Thankfulness and Praise,Epiphany,"ST. GEORGE’S, WINDSOR",77 77 D
83,As with Gladness Men of Old,Epiphany,DIX,77 77 77
84,Jesus Shall Reign Where’er the Sun,Epiphany,TRURO,LM
85,"O God from God, O Light from Light",Epiphany,O GROSSER GOTT,LM D
86,The Only Son from Heaven,Epiphany,"HERR CHRIST, DER EINIG GOTTS SOHN",76 76 776
87,"Hail, O Source of Every Blessing",Epiphany,O DURCHBRECHER ALLER BANDE,87 87 D
88,"To Jordan Came the Christ, Our Lord",Epiphany,CHRIST UNSER HERR ZUM JORDAN KAM,87 87 87 87 7
89,To Jordan’s River Came Our Lord,Epiphany,WINCHESTER NEW,LM
90,The People that in Darkness Sat,Epiphany,"LOBT GOTT, IHR CHRISTEN",86 866
91,The Star Proclaims the King Is Here,Epiphany,"O HEILAND, REISS DIE HIMMEL AUF",LM
92,Brightest and Best,Epiphany,MORNING STAR,11 10 11 10
93,Hail to the Lord’s Anointed,Epiphany,"FREUT EUCH, IHR LIEBEN CHRISTEN",76 76 D
94,"O Jesus, King of Glory",Epiphany,VALET WILL ICH DIR GEBEN,76 76 D
95,"How Good, Lord, to Be Here",Transfiguration,POTSDAM,SM
96,"Oh, Wondrous Type! Oh, Vision Fair",Transfiguration,DEO GRACIAS,LM
97,Down from the Mount of Glory,Transfiguration,ICH FREU MICH IN DEM HERREN,76 76 D
98,"Jesus, I Will Ponder Now",Lent,"JESU KREUZ, LEIDEN UND PEIN",76 76 D Trochaic
99,"Oh, Come, My Soul",Lent,"OH, COME, MY SOUL",88 44 8
100,A Lamb Goes Uncomplaining Forth,Lent,AN WASSERFLÜSSEN BABYLON,87 87 887 887
101,Behold the Lamb of God,Lent,ECCE AGNUS,66 64 884
102,Enslaved by Sin and Bound in Chains,Lent,WENN WIR IN HÖCHSTEN NÖTEN SEIN,LM
103,Glory Be to Jesus,Lent,WEM IN LEIDENSTAGEN,65 65
104,Go to Dark Gethsemane,Lent,GETHSEMANE,77 77 77
105,"Sacred Head, Now Wounded",Lent,HERZLICH TUT MICH VERLANGEN,76 76 D
106,Come to Calvary’s Holy Mountain,Lent,NAAR MIT ÖIE,87 87 77
107,Deep Were His Wounds,Lent,MARLEE,66 66 88
108,"Jesus, Refuge of the Weary",Lent,O DU LIEBE MEINER LIEBE,87 87 D
109,When O’er My Sins I Sorrow,Lent,"HERR CHRIST, DER EINIG GOTTS SOHN",76 76 776
110,My Song Is Love Unknown,Lent,LOVE UNKNOWN,66 66 4444
111,"Sweet the Moments, Rich in Blessing",Lent,RINGE RECHT,87 87
